Game,Date,Score,Result,Margin,FGM/A,FG%,3FGM/A,3FGA,3FG%,FTM/A,FT%,Opp FG%,Opp 3PA,3PA Mar,OFF,DEF,TOT,OFF %,DEF %,Reb % :,PF,Opp PF,PF Mar,AST,TO,A:TO,Opp TO,TO Mar,BLK,STL,PTS,Poss.
vs?PSU-Abington,11/15/2016,69-52,W,17,24-50,0.48,6-22,22,0.273,15-24,0.625,0.291,14,8,11,37,48,0.39,0.82,1.22,20,21,-1,12,22,0.55,13,-9,9,5,69,81
at?Centenary (NJ),11/19/2016,86-80,W,6,25-58,0.431,10-30,30,0.333,26-35,0.743,0.371,29,1,14,37,51,0.38,0.79,1.17,23,27,-4,19,21,0.90,8,-13,5,3,86,94
at?Misericordia Men's BBall,11/27/2016,83-75,W,8,27-70,0.386,11-22,22,0.5,18-24,0.75,0.348,37,-15,15,36,51,0.32,0.77,1.09,17,21,-4,17,13,1.31,12,-1,4,5,83,91
vs?Rowan,12/17/2016,84-92,L,-8,26-69,0.377,10-23,23,0.435,22-28,0.786,0.365,35,-12,19,36,55,0.43,0.82,1.25,25,26,-1,18,22,0.82,7,-15,7,2,84,106
vs?Averett,12/18/2016,61-60,W,1,23-52,0.442,7-20,20,0.35,8-12,0.667,0.377,16,4,5,27,32,0.17,0.68,0.85,18,18,0,13,10,1.30,8,-2,6,0,61,69
at?Hood,12/30/2016,72-63,W (OT),9,24-64,0.375,14-34,34,0.412,10-14,0.714,0.302,21,13,15,28,43,0.35,0.72,1.07,25,20,5,16,21,0.76,21,0,10,7,72,94*
at?Catholic University,1/3/2017,88-51,W,37,37-69,0.536,11-24,24,0.458,3-4,0.75,0.226,19,5,12,34,46,0.36,0.77,1.14,18,9,9,25,11,2.27,12,1,8,2,88,82
vs?Staten Island,3/3/2017,86-61,W,25,29-65,0.446,9-24,24,0.375,19-26,0.731,0.333,18,6,14,38,52,0.37,0.78,1.14,19,19,0,14,14,1.00,10,-4,6,5,86,90
vs?Christopher Newport,3/4/2017,67-77,L,-10,26-53,0.491,7-16,16,0.438,8-11,0.727,0.475,18,-2,5,20,25,0.18,0.51,0.69,20,12,8,11,13,0.85,11,-2,8,5,67,69
vs?Hood,11/15/2017,111-89,W,22,35-63,0.556,20-35,35,0.571,21-33,0.636,0.368,32,3,11,36,47,0.38,0.73,1.11,25,28,-3,25,25,1.00,15,-10,10,3,111,105
vs?Albertus Magnus,11/18/2017,95-85,W,10,31-61,0.508,7-18,18,0.389,26-31,0.839,0.416,20,-2,10,36,46,0.34,0.73,1.08,23,28,-5,12,19,0.63,9,-10,5,2,95,96
vs?Misericordia,11/26/2017,93-75,W,18,34-64,0.531,9-26,26,0.346,16-17,0.941,0.439,26,0,6,32,38,0.21,0.86,1.07,11,16,-5,17,12,1.42,10,-2,3,4,93,81
at?Delaware Valley,12/9/2017,75-61,W,14,27-56,0.482,7-20,20,0.35,14-19,0.737,0.360,22,-2,14,27,41,0.45,0.71,1.16,23,21,2,17,15,1.13,14,-1,7,5,75,82
at?York (Pa.),12/13/2017,79-83,L,-4,29-61,0.475,8-26,26,0.308,13-22,0.591,0.480,32,-6,17,20,37,0.44,0.67,1.10,26,20,6,12,15,0.80,12,-3,4,7,79,86
at?Middlebury,1/2/2018,91-75,W,16,34-71,0.479,4-13,13,0.308,19-29,0.655,0.435,16,-3,16,34,50,0.37,0.77,1.14,19,22,-3,13,14,0.93,14,0,7,4,91,98
vs?New England College,3/2/2018,90-63,W,27,33-68,0.485,15-32,32,0.469,9-13,0.692,0.322,20,12,13,35,48,0.34,0.78,1.12,16,16,0,19,15,1.27,15,0,5,7,90,90
at?Wesleyan,3/3/2018,97-75,W,22,32-64,0.5,12-26,26,0.462,21-22,0.955,0.397,25,1,10,34,44,0.32,0.81,1.13,17,17,0,15,14,1.07,13,-1,8,4,97,90
vs?Plattsburgh State,3/9/2018,93-63,W,30,37-62,0.597,6-21,21,0.286,13-18,0.722,0.349,21,0,8,32,40,0.29,0.73,1.01,20,20,0,21,16,1.31,14,-2,5,6,93,85
vs?Springfield,3/10/2018,62-74,L,-12,23-63,0.365,10-29,29,0.345,6-7,0.857,0.421,20,9,6,27,33,0.16,0.79,0.95,17,12,5,16,9,1.78,10,1,4,4,62,75
at?TCNJ,11/13/2018,82-65,W,17,30-72,0.417,7-36,36,0.194,15-23,0.652,0.344,23,13,19,32,51,0.42,0.74,1.17,21,23,-2,16,11,1.45,13,2,6,6,82,93
vs?Delaware Valley,11/17/2018,88-55,W,33,34-63,0.54,10-26,26,0.385,10-17,0.588,0.309,14,12,13,32,45,0.42,0.78,1.20,19,20,-1,18,16,1.13,14,-2,11,5,88,85
at?Arcadia,11/25/2018,82-77,W,5,28-57,0.491,14-29,29,0.483,12-17,0.706,0.542,13,16,8,22,30,0.25,0.73,0.98,17,15,2,17,7,2.43,4,-3,3,1,82,70
vs?York (PA),12/12/2018,93-68,W,25,34-67,0.507,8-21,21,0.381,17-32,0.531,0.368,34,-13,26,37,63,0.63,0.82,1.46,16,22,-6,13,21,0.62,11,-10,9,6,93,104
vs?Middlebury,12/30/2018,82-80,W,2,30-62,0.484,10-22,22,0.455,12-19,0.632,0.449,21,1,10,28,38,0.28,0.64,0.91,15,17,-2,18,13,1.38,10,-3,4,6,82,84
at?Stockton,1/2/2019,73-65,W,8,26-59,0.441,13-29,29,0.448,8-14,0.571,0.429,21,8,12,29,41,0.34,0.78,1.13,15,18,-3,19,19,1.00,18,-1,5,4,73,84
vs?Mitchell,3/1/2019,90-73,W,17,34-61,0.557,12-23,23,0.522,10-12,0.833,0.408,12,11,8,27,35,0.31,0.59,0.89,12,13,-1,19,11,1.73,10,-1,10,4,90,76
vs?MIT,3/2/2019,105-65,W,40,37-51,0.725,14-17,17,0.824,17-23,0.739,0.350,28,-11,3,40,43,0.18,0.89,1.07,24,23,1,20,18,1.11,10,-8,6,4,105,79
vs?Randolph-Macon,3/8/2019,58-57,W,1,25-66,0.379,7-28,28,0.25,17-23,0.2,0.383,27,1,16,24,40,0.38,0.69,1.07,10,12,-2,14,8,1.75,9,1,5,4,58,76
at?Nichols,3/9/2019,69-65,W,4,24-58,0.414,10-27,27,0.37,1-5,0.733,0.397,18,9,11,29,40,0.31,0.74,1.05,16,16,0,14,14,1.00,9,-5,5,3,69,79
at?Chris. Newport,3/15/2019,70-63,W,7,28-57,0.491,6-15,15,0.4,11-15,0.5,0.323,25,-10,4,35,39,0.12,0.74,0.86,17,21,-4,9,13,0.69,10,-3,9,2,70,78
vs?Wis.-Oshkosh,3/16/2019,82-96,L,-14,34-77,0.442,11-26,26,0.423,8-16,0.75,0.523,21,5,8,25,33,0.19,0.83,1.02,21,9,12,15,9,1.67,7,-2,3,4,82,87
at?Eastern,11/9/2019,100-74,W,26,34-64,0.531,9-26,26,0.346,23-36,0.639,0.387,17,9,12,39,51,0.30,0.80,1.10,32,27,5,14,12,1.17,13,1,7,7,100,94
at?Neumann,11/16/2019,86-76,W,10,30-69,0.435,11-29,29,0.379,15-19,0.789,0.414,18,11,16,28,44,0.37,0.80,1.17,17,20,-3,13,15,0.87,17,2,6,11,86,96
vs?TCNJ,11/20/2019,88-81,W,7,29-69,0.42,9-29,29,0.310,21-26,0.808,0.429,28,1,14,23,37,0.34,0.64,0.98,18,22,-4,9,5,1.80,14,9,5,6,88,86
vs?Stockton,11/23/2019,84-54,W,30,29-67,0.433,15-37,37,0.405,11-13,0.846,0.281,19,18,14,38,52,0.34,0.84,1.19,21,18,3,20,16,1.25,12,-4,10,3,84,88
vs?Arcadia,12/1/2019,89-72,W,17,31-60,0.517,12-22,22,0.545,15-22,0.682,0.356,16,6,11,30,41,0.37,0.75,1.12,21,16,5,15,15,1.00,13,-2,10,4,89,85
vs?Rochester (N.Y.),1/2/2020,59-56,W,3,20-58,0.345,6-24,24,0.250,13-19,0.684,0.431,11,13,14,27,41,0.35,0.79,1.14,16,17,-1,11,9,1.22,11,2,4,7,59,77
at?Stevens,1/5/2020,74-71,W,3,27-59,0.458,7-22,22,0.318,13-20,0.65,0.441,24,-2,6,32,38,0.16,0.82,0.98,18,19,-1,15,15,1.00,16,1,9,8,74,81
vs?Brooklyn,3/6/2020,85-51,W,34,32-56,0.571,14-31,31,0.452,7-15,0.467,0.313,21,10,13,37,50,0.43,0.80,1.24,17,15,2,19,17,1.12,9,-8,6,5,85,78
vs?Ithaca,3/7/2020,86-78,W,8,29-67,0.433,9-30,30,0.300,19-27,0.704,0.321,43,-13,15,41,56,0.36,0.69,1.05,11,18,-7,16,13,1.23,7,-6,7,4,86,91
,,,,12.4,,0.480,,24.2,0.384,,0.698,0.386,22.0,2.2,11.8,31.0,42.8,0.33,0.76,1.09,19.2,19.0,0.2,16.2,14.8,1.19,12.0,-2.7,5.9,4.5,82.1,85.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
